ID,Name,Tactic,Level,IEL,Description,Examples,Skills Needed to Use
T1135,Network Share Discovery,Discovery,1 Public,0,net view \\remotesystem,https://www.bitdefender.com/files/News/CaseStudies/study/401/Bitdefender-PR-Whitepaper-FIN8-creat5619-en-EN.pdf,
T1135,Network Share Discovery,Discovery,2 Altered,1,Custom call to NetShareEnum,,
T1135,Network Share Discovery,Discovery,3 Bespoke,2,Custom tool that queries remote hosts,,
T1136,Create Account,Persistence,1 Public,0,Known bad form of administration command,,
T1136,Create Account,Persistence,2 Altered,1,Different form of administrator command,,
T1136,Create Account,Persistence,3 Bespoke,2,Target-specific account creation,,target intelligence
T1137,Office Application Startup,Persistence,1 Public,1,Known malicious method,https://github.com/sensepost/ruler,
T1137,Office Application Startup,Persistence,2 Altered,2,Different form of malicious method,,
T1137,Office Application Startup,Persistence,3 Bespoke,3,Novel office startup subtechnique,,Reverse-engineering
T1140,Deobfuscate/Decode Files or Information,Defense Evasion,1 Public,1,Simple decoding like base64,,
T1140,Deobfuscate/Decode Files or Information,Defense Evasion,2 Altered,2,Advanced decoding like using certutil,https://researchcenter.paloaltonetworks.com/2018/02/unit42-sofacy-attacks-multiple-government-entities/,
T1140,Deobfuscate/Decode Files or Information,Defense Evasion,3 Bespoke,3,Custom decryption algorithm,https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Operation_Ghost_Dukes.pdf,
T1176,Browser Extensions,Persistence,1 Public,0,Known bad extensions,https://www.intego.com/mac-security-blog/new-osxshlayer-malware-variant-found-using-a-dirty-new-trick/,
T1176,Browser Extensions,Persistence,2 Altered,1,Modified bad extensions,,
T1176,Browser Extensions,Persistence,3 Bespoke,2,New extension with hidden malicious content,https://www.zdnet.com/article/cyber-espionage-group-uses-chrome-extension-to-infect-victims/,Programming
T1185,Browser Session Hijacking,Collection,1 Public,2,Known modules that inject into browsers,https://web.archive.org/web/20210825130434/https://cobaltstrike.com/downloads/csmanual38.pdf,
T1185,Browser Session Hijacking,Collection,2 Altered,3,Custom browser modules to steal data,,
T1185,Browser Session Hijacking,Collection,3 Bespoke,4,Custom web-injections into traffic from proxy,https://securelist.com/qakbot-technical-analysis/103931/,
T1187,Forced Authentication,Credential Access,1 Public,2,Open login window for users to enter creds,https://researchcenter.paloaltonetworks.com/2018/08/unit42-darkhydrus-uses-phishery-harvest-credentials-middle-east/,
T1187,Forced Authentication,Credential Access,2 Altered,3,LNK file icon with remote resource,https://www.us-cert.gov/ncas/alerts/TA17-293A,
T1187,Forced Authentication,Credential Access,3 Bespoke,4,Custom resource embedded in a novel way,,
T1189,Drive-by Compromise,Initial Access,1 Public,2,Using known client-side exploit,,
T1189,Drive-by Compromise,Initial Access,2 Altered,3,Using altered client-side exploit,,
T1189,Drive-by Compromise,Initial Access,3 Bespoke,4,Zero day exploit,http://download.ahnlab.com/global/brochure/%5BAnalysis%5DAndariel_Group.pdf,
T1190,Exploit Public-Facing Application,Initial Access,1 Public,1,Using known exploit,,cli
T1190,Exploit Public-Facing Application,Initial Access,2 Altered,2,altered form of known exploit,,scripting
T1190,Exploit Public-Facing Application,Initial Access,3 Bespoke,3,Zero day exploit,,programming
T1195,Supply Chain Compromise,Initial Access,1 Public,3,Inserting known malware into a software supply chain,,"social engineer, devops workflows"
T1195,Supply Chain Compromise,Initial Access,2 Altered,4,Inserting custom malware into software supply chain,http://blog.talosintelligence.com/2017/09/avast-distributes-malware.html,advanced programming
T1195,Supply Chain Compromise,Initial Access,3 Bespoke,5,target-specific attack through trusted supply chain,https://orangematter.solarwinds.com/2021/01/11/new-findings-from-our-investigation-of-sunburst/,yes
T1197,BITS Jobs,"Defense Evasion, Persistence",1 Public,1,utility base modification of bits database,https://attack.mitre.org/software/S0190,
T1197,BITS Jobs,"Defense Evasion, Persistence",2 Altered,2,Custom interaction with the bits database,https://www.intrinsec.com/egregor-prolock/?cn-reloaded=1,
T1197,BITS Jobs,"Defense Evasion, Persistence",3 Bespoke,3,environment-specific way of interacting with bits,,
T1199,Trusted Relationship,Initial Access,1 Public,2,Acquiring access through company with known bad associations,,
T1199,Trusted Relationship,Initial Access,2 Altered,3,Acquiring access through company with no known bad associations,,
T1199,Trusted Relationship,Initial Access,3 Bespoke,4,Acquiring access through company with known good associations,https://www.microsoft.com/security/blog/2022/06/02/exposing-polonium-activity-and-infrastructure-targeting-israeli-organizations/,
T1200,Hardware Additions,Initial Access,1 Public,3,Known hacker hardware like rubber ducky,,Physical access
T1200,Hardware Additions,Initial Access,2 Altered,4,,,Hardware modding knowledge
T1200,Hardware Additions,Initial Access,3 Bespoke,5,,,Hardware modding and target intelligence
T1201,Password Policy Discovery,Discovery,1 Public,0,Get-ADDefaultDomainPasswordPolicy,,
T1201,Password Policy Discovery,Discovery,2 Altered,1,CrackMapExec,https://github.com/byt3bl33d3r/CrackMapExec/wiki/SMB-Command-Reference,
T1201,Password Policy Discovery,Discovery,3 Bespoke,3,Asking someone at the company,,
T1202,Indirect Command Execution,Defense Evasion,1 Public,1,forfiles,https://twitter.com/vector_sec/status/896049052642533376,
T1202,Indirect Command Execution,Defense Evasion,2 Altered,2,Windows subsystem for Linux invokations,,
T1202,Indirect Command Execution,Defense Evasion,3 Bespoke,3,Other novel indirect execution,,
T1203,Exploitation for Client Execution,Execution,1 Public,2,known exploits,,
T1203,Exploitation for Client Execution,Execution,2 Altered,3,altered form of known exploit,,
T1203,Exploitation for Client Execution,Execution,3 Bespoke,4,Zero day exploit,,
T1204,User Execution,Execution,1 Public,0,Telling someone to execute a command,,
T1204,User Execution,Execution,2 Altered,1,Obfuscating the command you tell someone to run,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,
T1204,User Execution,Execution,3 Bespoke,2,Putting a file for execution in an org-specific place it will be executed,,
T1205,Traffic Signaling,"Command and Control, Defense Evasion, Persistence",1 Public,2,Wake on LAN,https://www.bleepingcomputer.com/news/security/ryuk-ransomware-uses-wake-on-lan-to-encrypt-offline-devices/,
T1205,Traffic Signaling,"Command and Control, Defense Evasion, Persistence",2 Altered,3,Reverse shell triggered by specific packets,http://gosecure.net/2018/02/14/chaos-stolen-backdoor-rising/,
T1205,Traffic Signaling,"Command and Control, Defense Evasion, Persistence",3 Bespoke,4,Unique Magic byte sequence,https://www.mandiant.com/resources/blog/investigating-ivanti-exploitation-persistence,
T1207,Rogue Domain Controller,Defense Evasion,1 Public,3,Mimikatz LSADUMP::DCShadow,https://github.com/gentilkiwi/mimikatz,
T1207,Rogue Domain Controller,Defense Evasion,2 Altered,4,Altering mimikatz,,
T1207,Rogue Domain Controller,Defense Evasion,3 Bespoke,5,Other novel way of promoting DC,,
T1210,Exploitation of Remote Services,Lateral Movement,1 Public,2,Known exploit,https://web-assets.esetstatic.com/wls/2020/06/ESET_InvisiMole.pdf,
T1210,Exploitation of Remote Services,Lateral Movement,2 Altered,3,Adaptations of known exploits,,
T1210,Exploitation of Remote Services,Lateral Movement,3 Bespoke,4,Zero day exploit,,
T1211,Exploitation for Defense Evasion,Defense Evasion,1 Public,2,Public exploit code,,
T1211,Exploitation for Defense Evasion,Defense Evasion,2 Altered,3,altered form of public code,,
T1211,Exploitation for Defense Evasion,Defense Evasion,3 Bespoke,4,Zero day exploit,https://download.bitdefender.com/resources/media/materials/white-papers/en/Bitdefender_In-depth_analysis_of_APT28%E2%80%93The_Political_Cyber-Espionage.pdf,
T1212,Exploitation for Credential Access,Credential Access,1 Public,2,Known exploit,https://adsecurity.org/?p=1515,"cli, application of authentication mechanism"
T1212,Exploitation for Credential Access,Credential Access,2 Altered,3,Known exploit that requires some target knowledge,https://www.bugcrowd.com/glossary/replay-attack/,"packet capture, scripting, application knowledge"
T1212,Exploitation for Credential Access,Credential Access,3 Bespoke,4,Zero day exploit,,exploit development
T1213,Data from Information Repositories,Collection,1 Public,1,Web / database scrapers,https://www.cert.ssi.gouv.fr/uploads/CERTFR-2021-CTI-005.pdf,cli ability
T1213,Data from Information Repositories,Collection,2 Altered,2,Modified scrapers to look for data of interest,,basic programming (scripting)
T1213,Data from Information Repositories,Collection,3 Bespoke,3,Custom scraper for a target,,advanced programming
T1216,System Script Proxy Execution,Defense Evasion,1 Public,2,Well known invocation of lolbin,https://enigma0x3.net/2017/08/03/wsh-injection-a-case-study/,
T1216,System Script Proxy Execution,Defense Evasion,2 Altered,3,Changing how the lolbin is called,https://twitter.com/ItsReallyNick/status/944321013084573697,
T1216,System Script Proxy Execution,Defense Evasion,3 Bespoke,4,Novel way of proxying script execution,,
T1217,Browser Information Discovery,Discovery,1 Public,1,open source method,https://github.com/PowerShellEmpire/Empire,
T1217,Browser Information Discovery,Discovery,2 Altered,2,Custom filesystem enumeration command,https://research.nccgroup.com/2021/01/12/abusing-cloud-services-to-fly-under-the-radar/,
T1217,Browser Information Discovery,Discovery,3 Bespoke,3,Novel malware payload,https://www.cybereason.com/blog/research/powerless-trojan-iranian-apt-phosphorus-adds-new-powershell-backdoor-for-espionage,
T1218,System Binary Proxy Execution,Defense Evasion,1 Public,1,Invokation of binary to exec script,,
T1218,System Binary Proxy Execution,Defense Evasion,2 Altered,2,Different way of calling binary,,
T1218,System Binary Proxy Execution,Defense Evasion,3 Bespoke,4,Novel binary to call for proxy execution,,
T1219,Remote Access Software,Command and Control,1 Public,0,Log in via ssh,,
T1219,Remote Access Software,Command and Control,2 Altered,2,Install teamviewer on target,https://thedfirreport.com/2021/11/29/continuing-the-bazar-ransomware-story/,
T1219,Remote Access Software,Command and Control,3 Bespoke,3,Custom malware module,https://www.welivesecurity.com/2020/10/12/eset-takes-part-global-operation-disrupt-trickbot/,
T1220,XSL Script Processing,Defense Evasion,1 Public,1,Well-known calling of msxsl.exe,,
T1220,XSL Script Processing,Defense Evasion,2 Altered,2,Different way of calling msxsl.exe,,
T1220,XSL Script Processing,Defense Evasion,3 Bespoke,4,Novel way of calling xsl scripts,,
T1221,Template Injection,Defense Evasion,1 Public,2,Open source injection tool,https://github.com/ryhanson/phishery,
T1221,Template Injection,Defense Evasion,2 Altered,3,RTF injection,https://www.uptycs.com/blog/threat-research-report-team/confucius-apt-deploys-warzone-rat,
T1221,Template Injection,Defense Evasion,3 Bespoke,4,Novel method of packing templates,https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf,
T1222,File and Directory Permissions Modification,Defense Evasion,1 Public,0,Known malware method of modifiying permissions,,
T1222,File and Directory Permissions Modification,Defense Evasion,2 Altered,1,Altered form of modifying permissions,,
T1222,File and Directory Permissions Modification,Defense Evasion,3 Bespoke,2,Novel way of modifying permissions,,
T1480,Execution Guardrails,Defense Evasion,1 Public,2,Specific execution flags,https://www.cybereason.com/blog/dropping-anchor-from-a-trickbot-infection-to-the-discovery-of-the-anchor-malware,
T1480,Execution Guardrails,Defense Evasion,2 Altered,3,Per target alterations of payloads,https://www.trellix.com/blogs/research/the-continued-evolution-of-the-darkgate-malware-as-a-service/,
T1480,Execution Guardrails,Defense Evasion,3 Bespoke,4,Environment specific checks,https://www.wired.com/images_blogs/threatlevel/2011/02/Symantec-Stuxnet-Update-Feb-2011.pdf,
T1482,Domain Trust Discovery,Discovery,1 Public,1,open source method,https://github.com/PowerShellEmpire/Empire,cli
T1482,Domain Trust Discovery,Discovery,2 Altered,2,Custom filesystem enumeration command,https://posts.specterops.io/a-guide-to-attacking-domain-trusts-971e52cb2944,
T1482,Domain Trust Discovery,Discovery,3 Bespoke,3,Novel malware payload,https://github.com/nettitude/PoshC2_Python,
T1484,Domain or Tenant Policy Modification,"Defense Evasion, Privilege Escalation",1 Public,2,GPO to push known TTP,https://wald0.com/?p=179,
T1484,Domain or Tenant Policy Modification,"Defense Evasion, Privilege Escalation",2 Altered,3,Changing settings for new trust or DC,,
T1484,Domain or Tenant Policy Modification,"Defense Evasion, Privilege Escalation",3 Bespoke,4,Modifying a policy to blend in with environment,,
T1485,Data Destruction,Impact,1 Public,-1,,,
T1485,Data Destruction,Impact,2 Altered,-1,,,
T1485,Data Destruction,Impact,3 Bespoke,-1,,,
T1486,Data Encrypted for Impact,Impact,1 Public,-1,,,
T1486,Data Encrypted for Impact,Impact,2 Altered,-1,,,
T1486,Data Encrypted for Impact,Impact,3 Bespoke,-1,,,
T1489,Service Stop,Impact,1 Public,-1,,,
T1489,Service Stop,Impact,2 Altered,-1,,,
T1489,Service Stop,Impact,3 Bespoke,-1,,,
T1490,Inhibit System Recovery,Impact,1 Public,-1,,,
T1490,Inhibit System Recovery,Impact,2 Altered,-1,,,
T1490,Inhibit System Recovery,Impact,3 Bespoke,-1,,,
T1491,Defacement,Impact,1 Public,-1,,,
T1491,Defacement,Impact,2 Altered,-1,,,
T1491,Defacement,Impact,3 Bespoke,-1,,,
T1495,Firmware Corruption,Impact,1 Public,-1,,,
T1495,Firmware Corruption,Impact,2 Altered,-1,,,
T1495,Firmware Corruption,Impact,3 Bespoke,-1,,,
T1496,Resource Hijacking,Impact,1 Public,-1,,,
T1496,Resource Hijacking,Impact,2 Altered,-1,,,
T1496,Resource Hijacking,Impact,3 Bespoke,-1,,,
T1497,Virtualization/Sandbox Evasion,"Defense Evasion, Discovery",1 Public,1,Query OS for hardware data,https://researchcenter.paloaltonetworks.com/2017/10/unit42-badpatch/,
T1497,Virtualization/Sandbox Evasion,"Defense Evasion, Discovery",2 Altered,2,Check for user activity like mouse movements,https://www.welivesecurity.com/wp-content/uploads/2019/07/ESET_Okrum_and_Ketrican.pdf,
T1497,Virtualization/Sandbox Evasion,"Defense Evasion, Discovery",3 Bespoke,4,Novel Behavior checks or overloading system calls to confuse debuggers,https://www.welivesecurity.com/2020/04/28/grandoreiro-how-engorged-can-exe-get/,
T1498,Network Denial of Service,Impact,1 Public,-1,,,
T1498,Network Denial of Service,Impact,2 Altered,-1,,,
T1498,Network Denial of Service,Impact,3 Bespoke,-1,,,
T1499,Endpoint Denial of Service,Impact,1 Public,-1,,,
T1499,Endpoint Denial of Service,Impact,2 Altered,-1,,,
T1499,Endpoint Denial of Service,Impact,3 Bespoke,-1,,,
T1505,Server Software Component,Persistence,1 Public,1,Known malicious software components,https://www.cert.ssi.gouv.fr/uploads/CERTFR-2021-CTI-005.pdf,cli
T1505,Server Software Component,Persistence,2 Altered,2,Modified malicious software components,,scripting
T1505,Server Software Component,Persistence,3 Bespoke,3,New components with malicious capabilities,,programming
T1518,Software Discovery,Discovery,1 Public,1,cmd.exe WMIC /Node:localhost /Namespace:\\root\SecurityCenter2 Path AntiVirusProduct Get displayName /Format:List,https://www.malwarebytes.com/blog/news/2021/12/sidecopy-apt-connecting-lures-to-victims-payloads-to-infrastructure,
T1518,Software Discovery,Discovery,2 Altered,2,Query registry for installed applications,https://www.cybereason.com/blog/a-bazar-of-tricks-following-team9s-development-cycles,
T1518,Software Discovery,Discovery,3 Bespoke,3,Novel way of inferring software from registry or file system,,
T1525,Implant Internal Image,Persistence,1 Public,2,Open source implant toolkit,https://github.com/RhinoSecurityLabs/ccat,Scripting
T1525,Implant Internal Image,Persistence,2 Altered,3,modified implant method,,
T1525,Implant Internal Image,Persistence,3 Bespoke,4,Target-specific implant method,,"Prgramming, target knowledge"
T1526,Cloud Service Discovery,Discovery,1 Public,1,open source method,https://aadinternals.com/aadinternals/,
T1526,Cloud Service Discovery,Discovery,2 Altered,2,Custom filesystem enumeration command,,
T1526,Cloud Service Discovery,Discovery,3 Bespoke,3,Novel malware payload,,
T1528,Steal Application Access Token,Credential Access,1 Public,2,Dumping of tokens abusing existingi access,https://www.inguardians.com/peirates/,
T1528,Steal Application Access Token,Credential Access,2 Altered,3,Register custom OAuth application,https://blog.trendmicro.com/trendlabs-security-intelligence/pawn-storm-abuses-open-authentication-advanced-social-engineering-attacks,
T1528,Steal Application Access Token,Credential Access,3 Bespoke,4,Environment-specific token compromise,,
T1529,System Shutdown/Reboot,Impact,1 Public,-1,,,
T1529,System Shutdown/Reboot,Impact,2 Altered,-1,,,
T1529,System Shutdown/Reboot,Impact,3 Bespoke,-1,,,
T1530,Data from Cloud Storage,Collection,1 Public,1,Mass Scrapers,https://aadinternals.com/aadinternals/,cli ability
T1530,Data from Cloud Storage,Collection,2 Altered,2,Modified scrapers to look for data of interest,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a,basic programming (scripting)
T1530,Data from Cloud Storage,Collection,3 Bespoke,3,Custom scraper for a cloud storage location,,advanced programming
T1531,Account Access Removal,Impact,1 Public,-1,,,
T1531,Account Access Removal,Impact,2 Altered,-1,,,
T1531,Account Access Removal,Impact,3 Bespoke,-1,,,
T1534,Internal Spearphishing,Lateral Movement,1 Public,1,Known ruses,,Social engineering
T1534,Internal Spearphishing,Lateral Movement,2 Altered,1,Altered forms of known phish templates,,Social engineering
T1534,Internal Spearphishing,Lateral Movement,3 Bespoke,2,Target-specific messages,,"Social engineering, target information"
T1535,Unused/Unsupported Cloud Regions,Defense Evasion,1 Public,3,Deploying resources in a region with lower logging thresholds,,Needs a lot of knowledge of the target
T1535,Unused/Unsupported Cloud Regions,Defense Evasion,2 Altered,3,Deploying resources in a region with lower logging thresholds,,
T1535,Unused/Unsupported Cloud Regions,Defense Evasion,3 Bespoke,4,Deploying in a region that specifically avoids this target's monitoring,,
T1537,Transfer Data to Cloud Account,Exfiltration,1 Public,1,Using known bad cloud account,,cli
T1537,Transfer Data to Cloud Account,Exfiltration,2 Altered,2,Using different cloud account,,scripting
T1537,Transfer Data to Cloud Account,Exfiltration,3 Bespoke,3,Using cloud account that is trusted by target environment,,"target information, scripting"
T1538,Cloud Service Dashboard,Discovery,1 Public,0,Log in with valid credentials,,web browsing
T1538,Cloud Service Dashboard,Discovery,2 Altered,1,Log in matching pattern of existing accounts,,
T1538,Cloud Service Dashboard,Discovery,3 Bespoke,2,Log in from existing computer,,
T1539,Steal Web Session Cookie,Credential Access,1 Public,2,Man-in-the-middle proxy,https://github.com/kgretzky/evilginx2,
T1539,Steal Web Session Cookie,Credential Access,2 Altered,3,Steal cookies from disk,https://unit42.paloaltonetworks.com/mac-malware-steals-cryptocurrency-exchanges-cookies/,
T1539,Steal Web Session Cookie,Credential Access,3 Bespoke,4,Zero day browser exploit,https://www.volexity.com/blog/2021/08/17/north-korean-apt-inkysquid-infects-victims-using-browser-exploits/,
T1542,Pre-OS Boot,"Defense Evasion, Persistence",1 Public,3,MBR bootkit,https://www.fireeye.com/blog/threat-research/2015/12/fin1-targets-boot-record.html,
T1542,Pre-OS Boot,"Defense Evasion, Persistence",2 Altered,4,Custom UEFI Firmware,,
T1542,Pre-OS Boot,"Defense Evasion, Persistence",3 Bespoke,5,Custom component firmware,https://media.kasperskycontenthub.com/wp-content/uploads/sites/43/2018/03/08064459/Equation_group_questions_and_answers.pdf,
T1543,Create or Modify System Process,"Persistence, Privilege Escalation",1 Public,1,Known malicious service,,
T1543,Create or Modify System Process,"Persistence, Privilege Escalation",2 Altered,2,Altered malicious service,https://dragos.com/blog/crashoverride/CrashOverride-01.pdf,
T1543,Create or Modify System Process,"Persistence, Privilege Escalation",3 Bespoke,3,Modify environment-specific service,,
T1546,Event Triggered Execution,"Persistence, Privilege Escalation",1 Public,1,Known malicious event trigger,,
T1546,Event Triggered Execution,"Persistence, Privilege Escalation",2 Altered,2,Altered form of known malicious trigger,https://github.com/RhinoSecurityLabs/pacu,Cloud scripting
T1546,Event Triggered Execution,"Persistence, Privilege Escalation",3 Bespoke,3,Novel method of event triggering,,
T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",1 Public,1,Known malicious startup task,https://www.fireeye.com/blog/threat-research/2020/03/apt41-initiates-global-intrusion-campaign-using-multiple-exploits.html,
T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",2 Altered,2,Altered form of malicious startup task,,
T1547,Boot or Logon Autostart Execution,"Persistence, Privilege Escalation",3 Bespoke,3,Novel method of auto start task,,
T1548,Abuse Elevation Control Mechanism,"Defense Evasion, Privilege Escalation",1 Public,1,Known elevation bypass,https://web.archive.org/web/20210825130434/https://cobaltstrike.com/downloads/csmanual38.pdf,Scripting
T1548,Abuse Elevation Control Mechanism,"Defense Evasion, Privilege Escalation",2 Altered,2,Altered form of bypass,,
T1548,Abuse Elevation Control Mechanism,"Defense Evasion, Privilege Escalation",3 Bespoke,3,Novel elevation mechanism,http://www.slideshare.net/MatthewDunwoody1/no-easy-breach-derby-con-2016,
T1550,Use Alternate Authentication Material,"Defense Evasion, Lateral Movement",1 Public,2,pass the hash,,
T1550,Use Alternate Authentication Material,"Defense Evasion, Lateral Movement",2 Altered,3,pass the ticket,https://cdn2.hubspot.net/hubfs/3354902/Cybereason%20Labs%20Analysis%20Operation%20Cobalt%20Kitty.pdf,
T1550,Use Alternate Authentication Material,"Defense Evasion, Lateral Movement",3 Bespoke,4,Forged SAML token,https://www.microsoft.com/security/blog/2020/12/28/using-microsoft-365-defender-to-coordinate-protection-against-solorigate/,
T1552,Unsecured Credentials,Credential Access,1 Public,1,Group policy preferences,https://github.com/PowerShellMafia/PowerSploit,Still requires some enumeration/scripting
T1552,Unsecured Credentials,Credential Access,2 Altered,2,Search chat history or code repositories,https://www.microsoft.com/security/blog/2022/03/22/dev-0537-criminal-actor-targeting-organizations-for-data-exfiltration-and-destruction/,
T1552,Unsecured Credentials,Credential Access,3 Bespoke,3,Custom API queries,,
T1553,Subvert Trust Controls,Defense Evasion,1 Public,2,Using something like .iso files to avoid mark-of-the-web,https://www.trendmicro.com/en_us/research/19/h/ta505-at-it-again-variety-is-the-spice-of-servhelper-and-flawedammyy.html,
T1553,Subvert Trust Controls,Defense Evasion,2 Altered,3,Installing root certificate that you control,,
T1553,Subvert Trust Controls,Defense Evasion,3 Bespoke,4,Using signature known to be trusted by application white listing,,
T1554,Compromise Host Software Binary,Persistence,1 Public,2,Known trojan template,,scripting
T1554,Compromise Host Software Binary,Persistence,2 Altered,3,Altered trojan template,,programming
T1554,Compromise Host Software Binary,Persistence,3 Bespoke,4,Target-specific binary modifications,,"programming, target intelligence"
T1555,Credentials from Password Stores,Credential Access,1 Public,1,Grabbing files from known password stores with OS tools,https://github.com/gentilkiwi/mimikatz,cli
T1555,Credentials from Password Stores,Credential Access,2 Altered,2,Grabbing files with altered tools,https://github.com/AlessandroZ/LaZagne,basic programming (scripting)
T1555,Credentials from Password Stores,Credential Access,3 Bespoke,3,Searching custom password stores,,"basic programming, information gathering"
T1556,Modify Authentication Process,"Credential Access, Defense Evasion, Persistence",1 Public,2,trojanized function in known way,https://www.welivesecurity.com/2014/02/21/an-in-depth-analysis-of-linuxebury/,
T1556,Modify Authentication Process,"Credential Access, Defense Evasion, Persistence",2 Altered,3,trojanized function in different way,,
T1556,Modify Authentication Process,"Credential Access, Defense Evasion, Persistence",3 Bespoke,4,novel method of hooking authentication,https://securelist.com/files/2016/07/The-ProjectSauron-APT_research_KL.pdf,
T1557,Adversary-in-the-Middle,"Collection, Credential Access",1 Public,2,cache poisoning,https://www.bitdefender.com/blog/labs/luminousmoth-plugx-file-exfiltration-and-persistence-revisited,solid networking knowledge
T1557,Adversary-in-the-Middle,"Collection, Credential Access",2 Altered,3,actively altering network / proxy infrastrcuture,https://objective-see.org/blog/blog_0x25.html,advanced networking
T1557,Adversary-in-the-Middle,"Collection, Credential Access",3 Bespoke,4,Custom resources embedded in the network,,
T1558,Steal or Forge Kerberos Tickets,Credential Access,1 Public,2,Kerberoasting,https://attack.mitre.org/techniques/T1558/003/,
T1558,Steal or Forge Kerberos Tickets,Credential Access,2 Altered,3,Golden ticket,https://attack.mitre.org/techniques/T1558/001/,
T1558,Steal or Forge Kerberos Tickets,Credential Access,3 Bespoke,4,Kerberos zero day weakness,,
T1559,Inter-Process Communication,Execution,1 Public,2,Open source IPC abuse,,Scripting
T1559,Inter-Process Communication,Execution,2 Altered,3,Altered form of IPC,,Programming
T1559,Inter-Process Communication,Execution,3 Bespoke,4,Novel form of IPC,,OS internals
T1560,Archive Collected Data,Collection,1 Public,1,Archive via utility,https://www.secureworks.com/research/threat-profiles/gold-sahara,cli knowledge
T1560,Archive Collected Data,Collection,2 Altered,2,Archive via Library,https://securelist.com/use-of-dns-tunneling-for-cc-communications/78203/,basic programming (scripting)
T1560,Archive Collected Data,Collection,3 Bespoke,3,Archive via custom method,http://blog.threatexpert.com/2008/11/agentbtz-threat-that-hit-pentagon.html,advanced programming
T1561,Disk Wipe,Impact,1 Public,-1,,,
T1561,Disk Wipe,Impact,2 Altered,-1,,,
T1561,Disk Wipe,Impact,3 Bespoke,-1,,,
T1562,Impair Defenses,Defense Evasion,1 Public,1,Disable logging,https://www.secureworks.com/research/bronze-union,Scripting
T1562,Impair Defenses,Defense Evasion,2 Altered,2,Disable other service that might detect malware,,"Scripting, environment knowledge"
T1562,Impair Defenses,Defense Evasion,3 Bespoke,3,Modify system in a target-specific method,,
T1563,Remote Service Session Hijacking,Lateral Movement,1 Public,1,Known commands that are suspicious,https://logrhythm.com/blog/a-technical-analysis-of-wannacry-ransomware/,cli
T1563,Remote Service Session Hijacking,Lateral Movement,2 Altered,2,Altered commands from suspicious,,
T1563,Remote Service Session Hijacking,Lateral Movement,3 Bespoke,3,Target-specific enumeration of sessions,,
T1564,Hide Artifacts,Defense Evasion,1 Public,1,Known hiding methods ,https://cdn2.hubspot.net/hubfs/3354902/Cybereason%20Labs%20Analysis%20Operation%20Cobalt%20Kitty.pdf,"cli, basic scripting"
T1564,Hide Artifacts,Defense Evasion,2 Altered,2,Tweaked versions of known methods,https://www.secureworks.com/research/darktortilla-malware-analysis,
T1564,Hide Artifacts,Defense Evasion,3 Bespoke,3,Novel method of hiding,,
T1565,Data Manipulation,Impact,1 Public,-1,,,
T1565,Data Manipulation,Impact,2 Altered,-1,,,
T1565,Data Manipulation,Impact,3 Bespoke,-1,,,
T1566,Phishing,Initial Access,1 Public,0,Known templates and scams,,email
T1566,Phishing,Initial Access,2 Altered,0,Altered templates,,
T1566,Phishing,Initial Access,3 Bespoke,1,Target-specific email,,target knowledge
T1567,Exfiltration Over Web Service,Exfiltration,1 Public,1,Using known bad web service or account,,
T1567,Exfiltration Over Web Service,Exfiltration,2 Altered,2,Using different service or account,,
T1567,Exfiltration Over Web Service,Exfiltration,3 Bespoke,3,Using target-specific service or account,,
T1568,Dynamic Resolution,Command and Control,1 Public,2,technique like domain name generation,,"programming, dns knowledge"
T1568,Dynamic Resolution,Command and Control,2 Altered,2,Modifications to known algorithm,,"programming, dns knowledge"
T1568,Dynamic Resolution,Command and Control,3 Bespoke,3,Custom own DGA algorithm,,advanced programming
T1569,System Services,Execution,1 Public,1,Using psexec to execute a service,https://github.com/PowerShellEmpire/Empire,
T1569,System Services,Execution,2 Altered,2,Calling psexec in a different way,https://research.nccgroup.com/2021/01/12/abusing-cloud-services-to-fly-under-the-radar/,
T1569,System Services,Execution,3 Bespoke,3,"Modify custom, pre-existing service",,
T1570,Lateral Tool Transfer,Lateral Movement,1 Public,1,Known commands that are suspicious,,
T1570,Lateral Tool Transfer,Lateral Movement,2 Altered,2,Altered commands from suspicious,,
T1570,Lateral Tool Transfer,Lateral Movement,3 Bespoke,3,Target-specific transfer commands,,
T1571,Non-Standard Port,Command and Control,1 Public,1,Using port associated with malware like 4444,,scripting
T1571,Non-Standard Port,Command and Control,2 Altered,2,Using another random port,,"scripting, networking"
T1571,Non-Standard Port,Command and Control,3 Bespoke,3,Using a port that is specific to application present on system,,advanced intelligence
T1572,Protocol Tunneling,Command and Control,1 Public,2,SSH Tunneling,https://www2.fireeye.com/rs/848-DID-242/images/rpt-fin6.pdf,
T1572,Protocol Tunneling,Command and Control,2 Altered,3,DNS Tunneling,https://vblocalhost.com/uploads/VB2021-Kayal-etal.pdf,
